v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,"Also, Lol that's so funny, send me the video haha",,,
spam,"YOUR ACCOUNT HAS BEEN CREDITED WITH £500. REPLY YES TO CLAIM YOUR BONUS NOW, OFFER ENDS TODAY OFFER ENDS SOON",,,
ham,I'll be there in five minutes thanks,,,
ham,"Btw, Let's meet at the coffee shop at 9 haha",,,
ham,"Hey, I'm on my way, be there in 10 mins see ya",,,
spam,"Dear customer, Win a brand new car by entering our free draw. Text CAR to 89545 before offer closes tonight Reply STOP to opt out",,,
ham,"BTW, WHAT ARE YOU DOING THIS WEEKEND? LET ME KNOW",,,
spam,"Reminder: your reward of £750 is waiting, claim now by texting CLAIM to 82277 before it expires",,,
ham,"Well, Can you pick up milk on your way home? :)",,,
ham,"OK, DID YOU FINISH THE REPORT YET? :)",,,
spam,"ALERT: Reminder: your reward of £750 is waiting, claim now by texting CLAIM to 82277 before it expires T&Cs apply 1827",,,
ham,"Hey, Happy birthday! Hope you have a great day ok?",,,
ham,"Well, Nah I don't think I can make it tonight see ya",,,
ham,"Actually, What time does the movie start? no rush",,,
ham,"Btw, I'm on my way, be there in 10 mins",,,
ham,"Well, See you at the usual place tomorrow 7897",,,
ham,"SO JUST LANDED, WILL CALL YOU SOON LET ME KNOW",,,
ham,"ACTUALLY, HAPPY BIRTHDAY! HOPE YOU HAVE A GREAT DAY",,,
spam,Win a brand new car by entering our free draw. Text CAR to 89545 before offer closes tonight,,,
ham,"OK, CAN YOU PICK UP MILK ON YOUR WAY HOME? HAHA",,,
ham,"Well, What time does the movie start? thanks 4287",,,
ham,"Well, Just landed, will call you soon no rush 1251",,,
ham,"Hey, I'll pay you back on Friday, promise thanks",,,
ham,SEE YOU AT THE USUAL PLACE TOMORROW SEE YA,,,
ham,"Also, Don't forget to bring your charger",,,
ham,"Hey, Can you send me the address again? ok?",,,
ham,"Also, I'm running late, traffic is bad no rush",,,
ham,"Well, Can we reschedule our meeting to Friday? haha",,,
ham,"Ok, How was your exam today? ok?",,,
ham,"I'm on my way, be there in 10 mins no rush 7338",,,
ham,So Can you pick up milk on your way home? 8541,,,
spam,"Hi, URGENT! Your mobile number has won a prize of £5000! Call 09061743806 from a landline to claim",,,
ham,"Also, Happy birthday! Hope you have a great day thanks",,,
ham,"Ok, How was your exam today? no rush 1090",,,
ham,"Well, Just landed, will call you soon see ya",,,
ham,"I'm on my way, be there in 10 mins :)",,,
ham,"Well, U dun say so early hor, u c already then say",,,
ham,"So Mom said dinner is ready, come home ok? 4844",,,
ham,"Actually, Just landed, will call you soon thanks",,,
ham,"Actually, Nah I don't think I can make it tonight thanks",,,
ham,"Hey, U dun say so early hor, u c already then say thanks",,,
ham,Nah I don't think I can make it tonight haha,,,
spam,"NOTICE: REMINDER: YOUR REWARD OF £750 IS WAITING, CLAIM NOW BY TEXTING CLAIM TO 82277 BEFORE IT EXPIRES",,,
ham,What time does the movie start? :),,,
ham,Can you pick up milk on your way home? :),,,
ham,"So U dun say so early hor, u c already then say thanks 2641",,,
ham,So What time does the movie start? thanks,,,
ham,"WELL, SEE YOU AT THE USUAL PLACE TOMORROW SEE YA",,,
ham,"Also, Can you send me the address again? no rush",,,
ham,"Btw, The kids are asking when you'll be back thanks",,,
ham,"Ok, Did you finish the report yet? see ya",,,
ham,"Actually, Nah I don't think I can make it tonight :)",,,
ham,"Btw, Thanks for helping me move last weekend",,,
ham,"SO MOM SAID DINNER IS READY, COME HOME THANKS",,,
ham,"Hey, Please remember to feed the cat thanks",,,
ham,"Also, I'll pay you back on Friday, promise :)",,,
ham,"So Mom said dinner is ready, come home no rush",,,
ham,"Actually, See you at the usual place tomorrow see ya",,,
ham,"Ok, Nah I don't think I can make it tonight :) 4929",,,
ham,"Hey, What are you doing this weekend? thanks 6191",,,
ham,"Well, Cool, see you then let me know 9433",,,
ham,"I left my keys at your place, can you check?",,,
ham,"Also, Thanks for helping me move last weekend see ya",,,
ham,"Actually, Let's meet at the coffee shop at 9 ok?",,,
ham,"Hey, Hey, are you free tonight? Let's grab dinner 1990",,,
ham,"Also, Good morning, hope you slept well haha 4630",,,
spam,"DEAR CUSTOMER, FREEMSG: HEY THERE DARLING, TXT BACK TO CLAIM YOUR FREE GIFT, HURRY OFFER CLOSES SOON T&CS APPLY",,,
ham,"Btw, Mom said dinner is ready, come home",,,
ham,See you at the usual place tomorrow,,,
ham,"Just landed, will call you soon haha 7406",,,
ham,"ACTUALLY, JUST LANDED, WILL CALL YOU SOON HAHA 8202",,,
ham,"Also, How was your exam today?",,,
ham,"Hey, U dun say so early hor, u c already then say ok?",,,
ham,"Ok, See you at the usual place tomorrow",,,
ham,"Actually, I'll pay you back on Friday, promise ok?",,,
spam,"HI, FREE MSG: YOU ARE ELIGIBLE FOR A DISCOUNT ON YOUR NEXT MOBILE BILL. CALL 08000930705 NOW TO CLAIM LIMITED TIME ONLY 5653",,,
spam,NOTICE: Congratulations! You have been selected to receive a free iPhone. Claim now by texting CLAIM to 84484,,,
ham,"So I'm running late, traffic is bad no rush",,,
ham,"ALSO, OK LAR... I'LL CALL YOU LATER HAHA",,,
ham,"Ok, Ok lar... I'll call you later haha 2163",,,
ham,"Hey, The kids are asking when you'll be back :)",,,
ham,So Don't forget to bring your charger no rush,,,
ham,"Hey, The kids are asking when you'll be back :) 1201",,,
spam,Congratulations! You have been selected to receive a free iPhone. Claim now by texting CLAIM to 84484 Limited time only,,,
ham,"Well, I left my keys at your place, can you check? :)",,,
ham,"Well, Thanks for helping me move last weekend see ya 7652",,,
ham,So The kids are asking when you'll be back ok? 1639,,,
ham,"Well, What are you doing this weekend? thanks",,,
ham,"Mom said dinner is ready, come home :)",,,
ham,"Actually, I'm running late, traffic is bad let me know",,,
ham,"So Just landed, will call you soon let me know",,,
ham,"Actually, What are you doing this weekend? :)",,,
ham,"ACTUALLY, WHAT TIME DOES THE MOVIE START? HAHA",,,
ham,"Btw, What are you doing this weekend? thanks",,,
ham,"Also, Good morning, hope you slept well let me know",,,
ham,"WELL, CAN YOU SEND ME THE ADDRESS AGAIN? 5127",,,
spam,"Hi, You have been randomly selected to win a shopping voucher. Text SHOP to 85023 now for free entry Offer ends soon",,,
ham,"ALSO, DON'T FORGET TO BRING YOUR CHARGER NO RUSH",,,
ham,I'll be there in five minutes 3762,,,
ham,"Ok, Thanks for helping me move last weekend",,,
ham,"I'll pay you back on Friday, promise :)",,,
ham,"Btw, I'm on my way, be there in 10 mins let me know",,,
ham,"Hey, I'm running late, traffic is bad ok?",,,
ham,"Ok, Don't forget to bring your charger",,,
