loai_loi,thuc_te,du_doan,xac_suat_spam,do_dai,noi_dung
False Positive,ham,spam,0.4671672,22,Waiting for your call.
False Positive,ham,spam,0.54725621,25,K:)eng rocking in ashes:)
False Positive,ham,spam,0.90818002,22,Nokia phone is lovly..
False Negative,spam,ham,0.34047601,141,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner
False Negative,spam,ham,0.32597914,160,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O å£250 3 WANT å£800
False Negative,spam,ham,0.18648786,33,88066 FROM 88066 LOST 3POUND HELP
False Negative,spam,ham,0.17625577,69,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo
False Negative,spam,ham,0.14351004,157,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!"
False Negative,spam,ham,0.12623942,18,ringtoneking 84484
False Negative,spam,ham,0.08875669,84,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!
False Negative,spam,ham,0.08597434,70,"Latest News! Police station toilet stolen, cops have nothing to go on!"
False Negative,spam,ham,0.07468966,160,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Callså£1/minMobsmoreLKPOBOX177HP51FL
False Negative,spam,ham,0.06876574,72,Missed call alert. These numbers called but left no message. 07008009200
False Negative,spam,ham,0.02861126,161,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Callså£1/minMobsmoreLKPOBOX177HP51FL
False Negative,spam,ham,0.00392013,146,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)"
False Negative,spam,ham,0.00258353,152,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs)
